id,name,state_id
1,Álvaro Obregón,9
2,Abalá,31
3,Abasolo,28
4,Abasolo,11
5,Abasolo,5
6,Abasolo,19
7,Abejones,20
8,Acámbaro,11
9,Acacoyagua,7
10,Acajete,21
11,Acajete,30
12,Acala,7
13,Acambay,15
14,Acanceh,31
15,Acapetahua,7
16,Acaponeta,18
17,Acapulco de Juárez,12
18,Acateno,21
19,Acatepec,12
20,Acatic,14
21,Acatlán,21
22,Acatlán,30
23,Acatlán,13
24,Acatlán de Juárez,14
25,Acatlán de Pérez Figueroa,20
26,Acatzingo,21
27,Acaxochitlán,13
28,Acayucan,30
29,Acolman,15
30,Aconchi,26
31,Acteopan,21
32,Actopan,30
33,Actopan,13
34,Ciudad Acuña,5
35,Acuamanala de Miguel Hidalgo,29
36,Acuitzio,16
37,Acula,30
38,Aculco,15
39,Acultzingo,30
40,Agua Blanca de Iturbide,13
41,Agua Dulce,30
42,Agua Prieta,26
43,Agualeguas,19
44,Aguascalientes,1
45,Aguililla,16
46,Ahome,25
47,Ahuacatlán,21
48,Ahuacatlán,18
49,Ahuacuotzingo,12
50,Ahualulco,24
51,Ahualulco de Mercado,14
52,Ahuatlán,21
53,Ahuazotepec,21
54,Ahuehuetitla,21
55,Ahumada,8
56,Ajacuba,13
57,Ajalpan,21
58,Ajuchitlán del Progreso,12
59,Akil,31
60,Alamos,26
61,Alaquines,24
62,Albino Zertuche,21
63,Alcozauca de Guerrero,12
64,Aldama,7
65,Aldama,28
66,Aldama,8
67,Alfajayucan,13
68,Aljojuca,21
69,Allende,8
70,Allende,5
71,Allende,19
72,Almoloya,13
73,Almoloya de Alquisiras,15
74,Almoloya de Juárez,15
75,Almoloya del Río,15
76,Alpatláhuac,30
77,Alpoyeca,12
78,Altamira,28
79,Altamirano,7
80,Altar,26
81,Altepexi,21
82,Alto Lucero de Gutiérrez Barrios,30
83,Altotonga,30
84,Altzayanca,29
85,Alvarado,30
86,Alvaro Obregón,16
87,Amacueca,14
88,Amacuzac,17
89,Amanalco,15
90,Amatán,7
91,Amatenango de La Frontera,7
92,Amatenango Del Valle,7
93,Amatepec,15
94,Amatitán,14
95,Amatitlán,30
96,Amatlán de Cañas,18
97,Amatlán de los Reyes,30
98,Amaxac de Guerrero,29
99,Amealco de Bonfil,22
100,Ameca,14
101,Amecameca,15
102,Amixtlán,21
103,Amozoc,21
104,Anáhuac,19
105,Angamacutiro,16
106,Angangueo,16
107,Angel Albino Corzo,7
108,Angel R. Cabada,30
109,Angostura,25
110,Animas Trujano,20
111,Antiguo Morelos,28
112,Apan,13
113,Apaseo El Alto,11
114,Apaseo El Grande,11
115,Apatzingán,16
116,Apaxco,15
117,Apaxtla,12
118,Apazapan,30
119,Apetatitlán de Antonio Carvajal,29
120,Apizaco,29
121,Apodaca,19
122,Aporo,16
123,Apozol,32
124,Apulco,32
125,Aquila,30
126,Aquila,16
127,Aquiles Serdán,8
128,Aquismón,24
129,Aquixtla,21
130,Aramberri,19
131,Arandas,14
132,Arcelia,12
133,Ario,16
134,Arivechi,26
135,Arizpe,26
136,Armadillo de los Infante,24
137,Armería,6
138,Arriaga,7
139,Arroyo Seco,22
140,Arteaga,5
141,Arteaga,16
142,Ascensión,8
143,Asientos,1
144,Astacinga,30
145,Asunción Cacalotepec,20
146,Asunción Cuyotepeji,20
147,Asunción Ixtaltepec,20
148,Asunción Nochixtlán,20
149,Asunción Ocotlán,20
150,Asunción Tlacolulita,20
151,Atarjea,11
152,Atemajac de Brizuela,14
153,Atempan,21
154,Atenango del Río,12
155,Atenco,15
156,Atengo,14
157,Atenguillo,14
158,Atexcal,21
159,Atil,26
160,Atitalaquia,13
161,Atizapán,15
162,Atizapán de Zaragoza,15
163,Atlacomulco,15
164,Atlahuilco,30
165,Atlamajalcingo Del Monte,12
166,Atlangatepec,29
167,Atlapexco,13
168,Atlatlahucan,17
169,Atlautla,15
170,Atlequizayan,21
171,Atlixco,21
172,Atlixtac,12
173,Atolinga,32
174,Atotonilco de Tula,13
175,Atotonilco El Alto,14
176,Atotonilco El Grande,13
177,Atoyac,30
178,Atoyac,14
179,Atoyac de álvarez,12
180,Atoyatempan,21
181,Atzacan,30
182,Atzala,21
183,Atzalan,30
184,Atzitzihuacán,21
185,Atzitzintla,21
186,Autlán de Navarro,14
187,Axapusco,15
188,Axochiapan,17
189,Axtla de Terrazas,24
190,Axutla,21
191,Ayahualulco,30
192,Ayala,17
193,Ayapango,15
194,Ayoquezco de Aldama,20
195,Ayotlán,14
196,Ayotoxco de Guerrero,21
197,Ayotzintepec,20
198,Ayutla,14
199,Ayutla de los Libres,12
200,Azcapotzalco,9
201,Azoyú,12
202,Bácum,26
203,Baca,31
204,Bacadéhuachi,26
205,Bacanora,26
206,Bacerac,26
207,Bachóniva,8
208,Bacoachi,26
209,Badiraguato,25
210,Bahía de Banderas,18
211,Balancán,27
212,Balleza,8
213,Banámichi,26
214,Banderilla,30
215,Batopilas,8
216,Baviácora,26
